| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000 00 Off F |
|     1 | 15ED  ... ..  01 00AA 700 | 1167  C-4 B0  51 0059 ... | 0459  ... ..  01 00C8 E00 | .... F4 Low . |
|     2 | 15ED  E-4 B4  21 .... 730 | ....  ... ..  .. .... ... | 08B3  C-3 A4  41 .... DC0 | C000 .. ... . |
|     3 | ....  ... ..  .. .... 760 | ....  ... ..  50 .... ... | 0459 (C-2 98) .. .... D80 | A000 .. ... . |
|     4 | ....  ... ..  20 .... 790 | ....  ... ..  .. .... ... | ....  ... ..  .. .... D40 | 8000 .. ... . |
|     5 | ....  ... ..  .. .... 7C0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... D00 | 6000 .. ... . |
|     6 | 159B (- 0052) .. .... 7F0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... CC0 | 4000 .. ... . |
|     7 | 1549 (D#4 B3) .. .... 820 | 15ED  E-4 B4  51 .... ... | ....  ... ..  .. .... C80 | 2000 .. ... . |
|     8 | 159B (E-4 B4) .. .... 850 | ....  ... ..  .. .... ... | ....  ... ..  .. .... C40 | .... .. ... . |
|     9 | 15ED (+ 0052) .. .... 880 | ....  ... ..  50 .... ... | 0442 (- 0017) .. .... C00 | .... .. ... . |
|    10 | 163F (+ 0052) .. .... 8B0 | ....  ... ..  .. .... ... | 042B (B-1 97) .. .... BC0 | .... .. ... . |
|    11 | 1691 (+ 0052) .. .... 8E0 | ....  ... ..  .. .... ... | 0442 (C-2 98) 40 .... B80 | .... .. ... . |
|    12 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0459 (+ 0017) .. .... B40 | .... .. ... . |
|    13 | 1A13  ... ..  01 .... 700 | 1A13  G-4 B7  51 .... ... | 0470 (+ 0017) .. .... B00 | .... .. ... . |
|    14 | 1A13  G-4 B7  21 .... 730 | ....  ... ..  .. .... ... | 0487 (C#2 99) .. .... AC0 | .... .. ... . |
|    15 | ....  ... ..  .. .... 760 | ....  ... ..  50 .... ... | 0470 (C-2 98) .. .... A80 | .... .. ... . |
